time,high,low,open,close,volumeto
1721274720,64878.67,64858.21,64873.85,64860.49,1453284.17
1721274780,64880.21,64856.66,64860.49,64856.66,1402406.45
1721274840,64876.89,64855.76,64856.66,64869.21,1155404.88
1721274900,64870.78,64823.46,64869.21,64823.46,2134814.01
1721274960,64847,64822.71,64823.46,64842.55,894413.04
1721275020,64869.65,64826.76,64842.55,64869.65,1655673.02
1721275080,64876.77,64861.44,64869.65,64875.66,1051127.82
1721275140,64877.16,64864.57,64875.66,64865.13,1233083.96
1721275200,64881.82,64865.01,64865.13,64865.01,1936868.97
1721275260,64865.01,64828.38,64865.01,64830.02,3144210.52
1721275320,64839.72,64821.01,64830.02,64821.73,999940.73
1721275380,64826.43,64808.72,64821.73,64815.95,1979209.35
1721275440,64817.52,64801.32,64815.95,64801.91,977013.35
1721275500,64809.54,64801.9,64801.91,64804.02,1149709.02
1721275560,64804.22,64789.32,64804.02,64789.32,1583876.23
1721275620,64789.98,64758.51,64789.32,64774.41,3549391.68
1721275680,64806.58,64773.02,64774.41,64800.45,1331718.37
1721275740,64837.31,64794.48,64800.45,64833.22,1446624.75
1721275800,64860.21,64833.22,64833.22,64853.22,1812767.51
1721275860,64853.22,64838.51,64853.22,64838.52,893118.49
1721275920,64841.93,64794.29,64838.52,64802.15,1350699.05
1721275980,64829.94,64800.08,64802.15,64828.88,1214695.51
1721276040,64828.88,64786.03,64828.88,64786.74,1347512.34
1721276100,64796.31,64782.41,64786.74,64793.67,1189293.34
1721276160,64796.81,64783,64793.67,64789.28,1332328.67
1721276220,64791.62,64752.97,64789.28,64753.19,1979180.81
1721276280,64755.53,64716.25,64753.19,64716.25,1363917.75
1721276340,64737.09,64714.09,64716.25,64723.1,1654239.69
1721276400,64747.25,64718.34,64723.1,64722.57,1157238.87
1721276460,64733.21,64717.3,64722.57,64732.75,1245175.35
1721276520,64732.75,64692.62,64732.75,64702.11,3229199.18
1721276580,64708.92,64681.77,64702.11,64683.14,2050867.84
1721276640,64698,64675.35,64683.14,64695.94,1075777.61
1721276700,64698.56,64682.35,64695.94,64691.38,1067993.86
1721276760,64694.63,64682.66,64691.38,64686.87,873107.95
1721276820,64692.82,64662.03,64686.87,64662.03,1407156.53
1721276880,64666.04,64653.69,64662.03,64659.12,1073590.48
1721276940,64671.65,64656.94,64659.12,64670.88,1059810.48
1721277000,64671.8,64646.29,64670.88,64648.18,1896105.84
1721277060,64652.17,64619.88,64648.18,64625.09,2271182.41
1721277120,64627.94,64617.29,64625.09,64622.56,1029763.21
1721277180,64649.84,64621.26,64622.56,64649.19,1753731.28
1721277240,64649.19,64610.23,64649.19,64620.47,3145971.57
1721277300,64646.68,64618.78,64620.47,64645.85,1147656.4
1721277360,64646.81,64619.44,64645.85,64646.71,1743484.96
1721277420,64664.32,64644.1,64646.71,64662.55,936972
1721277480,64695.01,64659.8,64662.55,64693.57,2247898.3
1721277540,64700.32,64690.12,64693.57,64699.11,927390.75
1721277600,64721.12,64698.15,64699.11,64716.28,977401.84
1721277660,64719.97,64698.39,64716.28,64698.39,1678824.41
1721277720,64698.39,64658.89,64698.39,64691.44,1870212.77
1721277780,64700.82,64691.13,64691.44,64700.82,918428.97
1721277840,64708.03,64699.86,64700.82,64705.48,1250248.04
1721277900,64725.74,64705.3,64705.48,64725.74,1549413.59
1721277960,64739.5,64723.72,64725.74,64732.58,1123494.81
1721278020,64732.58,64683.99,64732.58,64684.4,1798357.44
1721278080,64684.9,64623.41,64684.4,64624,2061126.78
1721278140,64631.35,64601.7,64624,64631.35,2435763.87
1721278200,64675.07,64627.18,64631.35,64655.05,1822455.59
1721278260,64669.41,64635.17,64655.05,64665.98,1064224.65
1721278320,64665.98,64640.54,64665.98,64640.54,1247803.25
1721278380,64641.25,64581.98,64640.54,64585.36,5457121.71
1721278440,64588.91,64575.39,64585.36,64583.43,2266437.67
1721278500,64585.11,64544.06,64583.43,64558.59,2678072.69
1721278560,64594.92,64557.74,64558.59,64594.92,1119495.64
1721278620,64596.51,64592.13,64594.92,64595.17,944422.45
1721278680,64595.25,64559.28,64595.17,64561.42,2813647.28
1721278740,64578.17,64561.42,64561.42,64575.58,1330950.03
1721278800,64576.77,64557.44,64575.58,64566.14,1715136.41
1721278860,64608.07,64566.14,64566.14,64596.65,1567506.78
1721278920,64614.01,64586.41,64596.65,64605.3,1393585.17
1721278980,64611.28,64574.9,64605.3,64574.9,1937299.97
1721279040,64580.15,64569.47,64574.9,64578.96,1038999.35
1721279100,64615.35,64577.4,64578.96,64613.79,973206.76
1721279160,64619.05,64607.84,64613.79,64615.28,1497938.17
1721279220,64639.38,64613.08,64615.28,64639.34,925982.94
1721279280,64645.26,64632.17,64639.34,64645.26,2458298.8
1721279340,64645.38,64625.16,64645.26,64625.68,1281050.45
1721279400,64626.46,64555.13,64625.68,64555.13,1837090.94
1721279460,64555.13,64521.33,64555.13,64521.98,3626909.45
1721279520,64527.5,64520.75,64521.98,64523.98,1562714.71
1721279580,64533.96,64477.08,64523.98,64489.47,5287153
1721279640,64489.48,64474.18,64489.47,64476.11,2476920.31
1721279700,64476.9,64457.03,64476.11,64471.93,2447477.15
1721279760,64502.48,64451.61,64471.93,64454.64,2342851.91
1721279820,64454.96,64430.03,64454.64,64435.34,3059853.76
1721279880,64463.52,64431.66,64435.34,64443.49,2950521.84
1721279940,64496.28,64443.48,64443.49,64493.9,1942710.47
1721280000,64532.31,64493.9,64493.9,64531.42,2306552.37
1721280060,64542.18,64526.56,64531.42,64526.56,1980142.83
1721280120,64526.56,64452.46,64526.56,64457.93,2717588.11
1721280180,64457.94,64423.7,64457.93,64439.95,2713162.26
1721280240,64449.18,64413.44,64439.95,64440.5,6465894.48
1721280300,64454.29,64436.63,64440.5,64452.43,835057.14
1721280360,64493.21,64450.05,64452.43,64472.49,1604274.82
1721280420,64501.58,64466.35,64472.49,64496.1,1718803.61
1721280480,64538.19,64492.38,64496.1,64536.65,1561434.53
1721280540,64557.37,64534.54,64536.65,64556.06,1941504.12
1721280600,64598.04,64555.41,64556.06,64593.75,2697952.81
1721280660,64626.61,64586.9,64593.75,64623.7,2095296.7
1721280720,64638.44,64622.42,64623.7,64627.19,2268998.05
1721280780,64666.66,64625.46,64627.19,64655.27,1929145.24
1721280840,64659.55,64644.45,64655.27,64656.23,2537493.29
1721280900,64660.97,64635.1,64656.23,64635.79,2928748.17
1721280960,64656.95,64623.67,64635.79,64656.95,1671515.57
1721281020,64674.1,64643.77,64656.95,64657.96,2817193.3
1721281080,64680.14,64656.84,64657.96,64673.86,1864608.55
1721281140,64694.28,64671.26,64673.86,64689.44,2084067.26
1721281200,64693.54,64689.44,64689.44,64690.8,1089565.49
1721281260,64705.42,64690.63,64690.8,64701.09,1335341.65
1721281320,64704.05,64680.66,64701.09,64681.78,3031697.38
1721281380,64684.04,64678.24,64681.78,64678.86,988142.38
1721281440,64683.73,64678.37,64678.86,64683.66,706772.79
1721281500,64717.97,64683.66,64683.66,64717.97,1684896.94
1721281560,64762.73,64717.97,64717.97,64756.48,2378494.96
1721281620,64767.55,64734.65,64756.48,64739.63,2155124.58
1721281680,64753.59,64739.63,64739.63,64748.85,1220705.42
1721281740,64753.04,64726.25,64748.85,64750.13,1514604.28
1721281800,64791.6,64749.1,64750.13,64791.6,2142435.8
1721281860,64812.52,64788.53,64791.6,64808.98,1902098.81
1721281920,64818,64805.78,64808.98,64810.34,2026752.5
1721281980,64839.58,64803.03,64810.34,64837.78,1851048.54
1721282040,64851.19,64784.63,64837.78,64809.58,4633345.56
1721282100,64817.26,64784.31,64809.58,64790.47,2105714.5
1721282160,64807.02,64789.31,64790.47,64800.74,1916999.48
1721282220,64800.74,64774.45,64800.74,64777.55,1835130.52
1721282280,64792.66,64759.37,64777.55,64764.17,2343306.55
1721282340,64770.16,64758.23,64764.17,64760.58,1282795.95
1721282400,64784.19,64751.95,64760.58,64764.71,2082399.96
1721282460,64801.13,64753.5,64764.71,64753.5,2501465.98
1721282520,64754.76,64724.04,64753.5,64725.31,1786450.05
1721282580,64751.12,64723.65,64725.31,64751.12,2029884.09
1721282640,64762.14,64725.17,64751.12,64736.27,2191615.1
1721282700,64737.72,64715.37,64736.27,64716.41,2287169.51
1721282760,64730.69,64712.84,64716.41,64730.69,1811845.59
1721282820,64789.34,64730.14,64730.69,64789.34,1656432.51
1721282880,64808.83,64782.78,64789.34,64807.8,2080656.35
1721282940,64818.96,64807.56,64807.8,64811.2,1511486.23
1721283000,64829.81,64811.2,64811.2,64829.81,3610074.45
1721283060,64876.95,64829.5,64829.81,64876.32,6032875.29
1721283120,64900.25,64867.5,64876.32,64900.13,7999065.87
1721283180,64939.13,64899.32,64900.13,64929.48,6003985.35
1721283240,64934.96,64886.68,64929.48,64905.68,7479550.72
1721283300,64921.77,64885.5,64905.68,64888.58,3384021.65
1721283360,64920.94,64885.63,64888.58,64915.42,3008789.13
1721283420,64947.81,64915.42,64915.42,64922.06,2567350.36
1721283480,64982.67,64918.69,64922.06,64982.67,5162283.34
1721283540,64986.27,64955.47,64982.67,64958.07,2950157.58
1721283600,64958.07,64907.06,64958.07,64917.6,4274563.65
1721283660,64917.6,64884.89,64917.6,64893.86,3102866.37
1721283720,64893.87,64863.75,64893.86,64874.08,2490453.88
1721283780,64874.58,64857.57,64874.08,64861.37,1808232.01
1721283840,64871.92,64857.15,64861.37,64866.93,2259302.64
1721283900,64872.29,64846.38,64866.93,64860.25,3282202.15
1721283960,64900.04,64860.25,64860.25,64884.78,4041477.15
1721284020,64895.22,64875.42,64884.78,64880.77,4284215.34
1721284080,64880.93,64875.48,64880.77,64879.27,748881.61
1721284140,64882.9,64876.29,64879.27,64881.18,990429.33
1721284200,64908.34,64876.49,64881.18,64879.99,2745747.42
1721284260,64895.52,64846.85,64879.99,64857.58,3096968.29
1721284320,64869.41,64846.49,64857.58,64857.72,1713134.37
1721284380,64869.2,64850.74,64857.72,64862.64,1498668.21
1721284440,64885.7,64860.39,64862.64,64885.69,1344192.95
1721284500,64891.24,64848.92,64885.69,64849.69,1866288.16
1721284560,64861.82,64848.27,64849.69,64857.65,1193470.96
1721284620,64871.41,64847.49,64857.65,64863.85,1574867.52
1721284680,64913.56,64860.74,64863.85,64912.7,1736298.17
1721284740,64914.52,64907.7,64912.7,64914.33,1007262.43
1721284800,64917.96,64903.52,64914.33,64907.42,1912669.58
1721284860,64913.4,64905.19,64907.42,64908.27,1162148.92
1721284920,64955.52,64908.27,64908.27,64931.42,3017984.86
1721284980,64956.1,64930.46,64931.42,64951.6,2764077.39
1721285040,64962.78,64937.76,64951.6,64961.58,2952602.49
1721285100,64985.31,64953.21,64961.58,64953.21,3738203.24
1721285160,64981.39,64947.35,64953.21,64978.74,2221603.05
1721285220,64997.26,64943.96,64978.74,64944.87,3852223.39
1721285280,64978.75,64942.19,64944.87,64961.57,2177769.52
1721285340,65030.98,64961.57,64961.57,65029.2,3972975.25
1721285400,65029.91,65003.15,65029.2,65005.75,2771625.59
1721285460,65009.42,64990.26,65005.75,65004.72,2666680.18
1721285520,65023.89,64991.92,65004.72,64991.92,4235097.29
1721285580,65015.05,64990.67,64991.92,65004,3046178.91
1721285640,65045.68,65004,65004,65013.62,2462564.49
1721285700,65036.81,65009.38,65013.62,65009.76,2734454.21
1721285760,65049.76,64997.56,65009.76,65049.76,3061995.05
1721285820,65056.88,65042.57,65049.76,65042.73,3248534.58
1721285880,65042.74,65008.88,65042.73,65014.06,2499625.82
1721285940,65017.38,64999.93,65014.06,65001.7,2678763.77
1721286000,65037.23,65001.7,65001.7,65021.59,2482870.75
1721286060,65027.46,64994.43,65021.59,64997.8,3769545.27
1721286120,65026.37,64965.51,64997.8,64976.17,3450231.43
1721286180,64979.45,64945.26,64976.17,64951.1,2530269.13
1721286240,64956.08,64927.94,64951.1,64955.38,2702994.98
1721286300,64955.38,64898.14,64955.38,64898.28,2072584.76
1721286360,64898.83,64867.61,64898.28,64871.88,2356980.58
1721286420,64875.7,64862.59,64871.88,64862.59,1072257.46
1721286480,64883.98,64862.59,64862.59,64883.87,1327348.98
1721286540,64922.79,64882.96,64883.87,64922.79,1427962.12
1721286600,64922.79,64882.32,64922.79,64900.53,1926673.17
1721286660,64900.84,64870.33,64900.53,64897.82,1530233.91
1721286720,64900.34,64864.91,64897.82,64864.95,1165327.03
1721286780,64869.64,64851.36,64864.95,64868.11,1340929.4
1721286840,64885.97,64868.11,64868.11,64885.03,1123658.97
