time,high,low,open,close,volumeto
1721034600,62640.74,62564.26,62581.82,62599.25,7237721.13
1721034660,62614.02,62556.16,62599.25,62591.01,6094999.1
1721034720,62599.59,62567.17,62591.01,62567.98,4853283.35
1721034780,62569.37,62552.01,62567.98,62559.32,5305908.28
1721034840,62636.03,62557.1,62559.32,62636.03,4790122.62
1721034900,62674.13,62620.16,62636.03,62658.49,4839489.72
1721034960,62673.22,62593.58,62658.49,62593.58,4144106.84
1721035020,62625.18,62593.58,62593.58,62624.18,2740698.91
1721035080,62676.2,62620.26,62624.18,62675.16,3022183.33
1721035140,62737.73,62672.34,62675.16,62732.47,4371002.62
1721035200,62732.48,62711.86,62732.47,62729.23,3208980.77
1721035260,62771.78,62722.35,62729.23,62722.39,3146520.65
1721035320,62742.25,62718.42,62722.39,62718.42,2839648.62
1721035380,62733.05,62684.37,62718.42,62715.9,2935427.99
1721035440,62767.03,62715.42,62715.9,62767.03,2149392.94
1721035500,62767.97,62709.6,62767.03,62713.96,5307677.02
1721035560,62722.73,62705.03,62713.96,62716.54,1878894.22
1721035620,62716.54,62687.34,62716.54,62698.11,2123303.29
1721035680,62713.15,62647.39,62698.11,62657.19,4545926.9
1721035740,62702.06,62656.27,62657.19,62700.06,2521398.35
1721035800,62702.35,62674.55,62700.06,62691.34,2139428.57
1721035860,62699.96,62680.25,62691.34,62699.96,1814690.72
1721035920,62706.93,62689.67,62699.96,62701.15,1544474.25
1721035980,62701.15,62670.37,62701.15,62672.06,1943496.79
1721036040,62726.82,62672.06,62672.06,62726.13,3115164.34
1721036100,62730.99,62717.48,62726.13,62722.08,3229160.89
1721036160,62733.66,62702.76,62722.08,62727.96,2169418.75
1721036220,62803.24,62727.72,62727.96,62803.24,2324636.14
1721036280,62832.23,62803.24,62803.24,62825.02,3831848.08
1721036340,62878.62,62825.02,62825.02,62875.2,5143545.99
1721036400,62891.12,62818.46,62875.2,62829.48,3508946.62
1721036460,62831.39,62814.51,62829.48,62814.52,2398276.55
1721036520,62826.03,62814.48,62814.52,62824.57,1920221.28
1721036580,62826.08,62779.16,62824.57,62785.8,2423957.22
1721036640,62792.17,62769.13,62785.8,62772.23,2340934.82
1721036700,62815.26,62772.16,62772.23,62792.29,2775946.33
1721036760,62814.76,62791.92,62792.29,62802.74,1966980.68
1721036820,62886.03,62802.73,62802.74,62886.03,1957366.22
1721036880,62889.89,62833.92,62886.03,62833.93,2535205.81
1721036940,62834.19,62782.5,62833.93,62783.06,2638243.64
1721037000,62810.09,62782.59,62783.06,62798.18,2793127.96
1721037060,62806.9,62795.55,62798.18,62801.47,1686217.95
1721037120,62818.48,62794.98,62801.47,62814.15,1407441.18
1721037180,62814.15,62804.75,62814.15,62805.23,960782.59
1721037240,62805.24,62776.82,62805.23,62785.53,1822029.83
1721037300,62800.65,62785.26,62785.53,62794.52,1436870.41
1721037360,62804.99,62776.01,62794.52,62776.99,2731509.9
1721037420,62776.99,62691.62,62776.99,62701.14,6247853.85
1721037480,62728.97,62665.17,62701.14,62680.94,7081963.47
1721037540,62684.63,62664.74,62680.94,62665.45,2910059.95
1721037600,62681.92,62643.86,62665.45,62671.64,4518132.29
1721037660,62671.96,62636.6,62671.64,62656.07,2062985.6
1721037720,62712.17,62655.82,62656.07,62686.78,2711101.56
1721037780,62725.1,62668.53,62686.78,62725.1,2533589
1721037840,62725.17,62696.42,62725.1,62716.27,1603892.66
1721037900,62721.24,62697.81,62716.27,62721.21,1310824.85
1721037960,62721.21,62692.14,62721.21,62696.82,2476672.84
1721038020,62717.98,62695.3,62696.82,62714.26,2744707.33
1721038080,62714.26,62647.9,62714.26,62652.31,5303927.4
1721038140,62660.77,62650.9,62652.31,62656.72,2523113.73
1721038200,62678.55,62656.62,62656.72,62668.37,3571436.84
1721038260,62690.46,62654.97,62668.37,62690.45,3145987.88
1721038320,62706.17,62671.57,62690.45,62705.92,2172686.5
1721038380,62714.88,62705.91,62705.92,62712.08,1081339.18
1721038440,62712.58,62686.43,62712.08,62690.17,1402139.29
1721038500,62712.75,62683.03,62690.17,62696.59,1677988.3
1721038560,62696.6,62663.29,62696.59,62669.91,1872707.35
1721038620,62695.48,62669.91,62669.91,62693.19,1523368.56
1721038680,62717.74,62693.17,62693.19,62717.38,1920546.74
1721038740,62717.48,62690.99,62717.38,62691.73,1451400.02
1721038800,62707.98,62678.9,62691.73,62707.89,1685180.69
1721038860,62748.64,62707.14,62707.89,62748.64,1963913.9
1721038920,62757.21,62744.51,62748.64,62748.14,2046052.31
1721038980,62769.63,62748.14,62748.14,62769.63,1420533.21
1721039040,62792.64,62769.63,62769.63,62782.47,2036963.95
1721039100,62792.87,62780.35,62782.47,62792.69,1057444.59
1721039160,62808.32,62790.69,62792.69,62804.29,1725389.97
1721039220,62807.59,62803.76,62804.29,62807.1,768892.36
1721039280,62807.69,62742.32,62807.1,62742.98,3046423.81
1721039340,62755.3,62742.97,62742.98,62746.63,1714581.06
1721039400,62792.47,62740.41,62746.63,62786.45,2132514.12
1721039460,62786.46,62769.59,62786.45,62769.59,1806855
1721039520,62775.88,62750.76,62769.59,62750.76,2001635.59
1721039580,62750.76,62724.53,62750.76,62726.92,1365702.62
1721039640,62726.92,62709.42,62726.92,62713.25,1422788.51
1721039700,62738.53,62705.04,62713.25,62724.41,1413955.86
1721039760,62754.4,62722.42,62724.41,62752.74,961382.33
1721039820,62752.74,62722.93,62752.74,62722.93,1080238.43
1721039880,62723.75,62712.06,62722.93,62712.06,1005342.31
1721039940,62712.06,62702.68,62712.06,62703.76,859035.78
1721040000,62713.79,62702.02,62703.76,62708.68,1432338.34
1721040060,62724.39,62708.6,62708.68,62723.55,652866.06
1721040120,62725.41,62715.29,62723.55,62715.96,713674.94
1721040180,62717.88,62713.93,62715.96,62713.98,518416.65
1721040240,62743.18,62699.25,62713.98,62700.35,3309816.32
1721040300,62700.94,62666.67,62700.35,62668.27,1238486.23
1721040360,62669.58,62618.01,62668.27,62623.48,7730292.29
1721040420,62637.25,62616.25,62623.48,62628.98,2069825.23
1721040480,62644.73,62610.22,62628.98,62612.33,1707066.75
1721040540,62645.92,62608.45,62612.33,62639.67,2382416.62
1721040600,62639.67,62593.24,62639.67,62596.95,3421634.91
1721040660,62596.96,62571.63,62596.95,62577.73,2024694.42
1721040720,62593.5,62570.02,62577.73,62574.3,1825228
1721040780,62574.3,62504.56,62574.3,62527.04,6979290.74
1721040840,62576.15,62527.04,62527.04,62539.51,2559952.14
1721040900,62563.56,62525.71,62539.51,62551.82,2890246.29
1721040960,62552.06,62505.65,62551.82,62515.16,3906719.82
1721041020,62531.27,62484.36,62515.16,62486.62,4932787.99
1721041080,62489.32,62428.07,62486.62,62482.73,5119283.84
1721041140,62541.35,62475.6,62482.73,62541.35,4085670.12
1721041200,62581.61,62532.05,62541.35,62562.68,2757749.42
1721041260,62564.69,62512.18,62562.68,62512.18,2081831.44
1721041320,62544.23,62511.27,62512.18,62542.66,3172760.91
