time,high,low,open,close,volumeto
1721740860,66532.32,66501.59,66501.59,66531.69,2374830.81
1721740920,66607.98,66528.1,66531.69,66607.47,7705142.12
1721740980,66612.06,66593.32,66607.47,66604.29,3620239.54
1721741040,66604.64,66574.02,66604.29,66597.25,2357457.56
1721741100,66616.47,66596.72,66597.25,66602.96,2359154.96
1721741160,66615.05,66585.31,66602.96,66586.25,2625126.98
1721741220,66610.68,66571.71,66586.25,66609.82,2977909.53
1721741280,66609.83,66457.04,66609.82,66460.78,9883684.88
1721741340,66536.73,66459.12,66460.78,66519.46,3426425.43
1721741400,66577.55,66382.32,66519.46,66382.32,6301085.28
1721741460,66393.25,66213.34,66382.32,66216.39,17928174.45
1721741520,66247.5,66144.23,66216.39,66152.08,13170656.88
1721741580,66274.05,66143.07,66152.08,66271.87,5322532.56
1721741640,66565.68,66262.38,66271.87,66563.17,11737029.21
1721741700,66716.08,66551.74,66563.17,66686.37,23350154.52
1721741760,66686.37,66562.17,66686.37,66592.4,11296802.21
1721741820,66634.49,66534.87,66592.4,66620.8,8547303
1721741880,66620.8,66532.77,66620.8,66560.29,5496686.34
1721741940,66615.04,66553.21,66560.29,66566.94,4957521.44
1721742000,66573.55,66457.98,66566.94,66457.98,10088858.35
1721742060,66485.75,66306.77,66457.98,66355.67,18718840.84
1721742120,66457.1,66268.02,66355.67,66276.38,13075915.52
1721742180,66321.69,66232.63,66276.38,66310.12,11088066.76
1721742240,66379.46,66287.62,66310.12,66379.46,4589209.33
1721742300,66380.75,66246.39,66379.46,66246.39,4950888.85
1721742360,66264.68,66176.3,66246.39,66256.26,7490659.09
1721742420,66264.02,66136.43,66256.26,66172.62,7905858.03
1721742480,66173.25,66093.45,66172.62,66110.43,10135649.92
1721742540,66253.19,66099.28,66110.43,66213.88,8242989.75
1721742600,66244.06,66142.45,66213.88,66156.67,5602850.61
1721742660,66183.73,66125.56,66156.67,66143.27,5913867.74
1721742720,66169.43,66064.11,66143.27,66097.8,7495049.7
1721742780,66161.61,66050.17,66097.8,66060.31,7987820.06
1721742840,66067.87,65966.88,66060.31,66022.02,18035955.76
1721742900,66078.54,65979.08,66022.02,66002.35,7736488.41
1721742960,66153.4,66001.42,66002.35,66146.73,8689061.03
1721743020,66147.89,66058.12,66146.73,66085.8,4286056.67
1721743080,66098.03,66065.23,66085.8,66085.08,1986287.04
1721743140,66111.49,66064.78,66085.08,66087.28,3810461.17
1721743200,66139.36,66073.47,66087.28,66131.92,5749167.91
1721743260,66179.97,66120.6,66131.92,66179.97,7230856.8
1721743320,66204.26,66058.65,66179.97,66058.65,5766845.19
1721743380,66154.07,65985.55,66058.65,66154.07,8346575.65
1721743440,66166.5,66132.47,66154.07,66156.15,4063808.97
1721743500,66308.75,66156.15,66156.15,66302.72,10034398.47
1721743560,66330.52,66279.09,66302.72,66285.02,7568886.82
1721743620,66400.11,66273.67,66285.02,66388.59,17277576.98
1721743680,66418.27,66366.84,66388.59,66371.86,5974241.94
1721743740,66395.46,66291.95,66371.86,66371.3,9532525.5
1721743800,66452.31,66371.06,66371.3,66379.17,5634422.92
1721743860,66434.31,66373.53,66379.17,66397.01,4168660.79
1721743920,66433.75,66383.9,66397.01,66433.03,3923378.66
1721743980,66433.9,66388.38,66433.03,66400.1,4745029.95
1721744040,66449.89,66398.85,66400.1,66442.14,2426683.43
1721744100,66584.68,66428.59,66442.14,66567.19,8400777.03
1721744160,66616.05,66566.44,66567.19,66576.3,5718439.44
1721744220,66576.52,66496.74,66576.3,66518.04,6460934.65
1721744280,66617.04,66509.28,66518.04,66613.6,5758765.01
1721744340,66643.82,66595.26,66613.6,66637.61,6085953.6
1721744400,66655.28,66605.69,66637.61,66646.83,4422508.84
1721744460,66743.66,66640.21,66646.83,66741.37,8199078.55
1721744520,66762.65,66697.3,66741.37,66710.19,7770596.69
1721744580,66710.45,66626.06,66710.19,66650.89,5696103.33
1721744640,66707.96,66650.89,66650.89,66665.63,4419428.46
1721744700,66856.09,66663.02,66665.63,66854.33,9704917.43
1721744760,66938.53,66839.31,66854.33,66929.24,13703126.54
1721744820,66963.74,66913.14,66929.24,66946.06,10473774.39
1721744880,66946.06,66865.12,66946.06,66893.19,5006056.29
1721744940,66893.63,66824.27,66893.19,66825.07,3763076.14
1721745000,66843.34,66767.17,66825.07,66800.65,5087012.25
1721745060,66925.17,66800.01,66800.65,66875.4,10003639.46
1721745120,66995.98,66858.28,66875.4,66979.53,5855666.6
1721745180,67028.24,66979.27,66979.53,66994.72,10204971.56
1721745240,67032.13,66982.51,66994.72,66996.27,4922947.58
1721745300,67018.29,66977.26,66996.27,67018.25,4997095.72
1721745360,67193.95,67018.25,67018.25,67168.79,22642752.61
1721745420,67326.3,67136.79,67168.79,67320.92,16438406.64
1721745480,67320.92,67190.02,67320.92,67193.49,15094304.7
1721745540,67306.61,67172.37,67193.49,67304.11,6655600.62
1721745600,67316.99,67233.78,67304.11,67244.65,8943175.66
1721745660,67300.03,67237.02,67244.65,67243.74,5276575.29
1721745720,67243.74,67187.67,67243.74,67218.06,5881177.71
1721745780,67266.56,67177.68,67218.06,67247.95,7373951.55
1721745840,67312.73,67247.93,67247.95,67312.73,13180628.88
1721745900,67335.33,67190.24,67312.73,67226.2,8084239.81
1721745960,67272.37,67178.87,67226.2,67181.02,6818788.78
1721746020,67222.18,67151.96,67181.02,67152.8,6996076.73
1721746080,67179.1,67116.96,67152.8,67177.46,9010376.35
1721746140,67246.14,67152.89,67177.46,67223.99,4775347.05
1721746200,67242.55,67163.4,67223.99,67164.8,3809205.74
1721746260,67228.68,67160.95,67164.8,67228.58,2785285.86
1721746320,67262.95,67215.89,67228.58,67258.68,4103239.25
1721746380,67268.95,67215.42,67258.68,67231.05,3884065.61
1721746440,67239.96,67179.31,67231.05,67182.11,2667580.42
1721746500,67216.92,67175.41,67182.11,67216.1,2342801.67
1721746560,67226.17,67187.17,67216.1,67202.75,2606774.08
1721746620,67245.88,67201.83,67202.75,67235.4,3023948.46
1721746680,67240.5,67201.69,67235.4,67214.72,2718419.75
1721746740,67232.46,67191.65,67214.72,67225.24,2319572.79
1721746800,67245.13,67132.58,67225.24,67155.76,4082723.56
1721746860,67179.24,67084.4,67155.76,67175.55,6707438.88
1721746920,67177.62,67097.61,67175.55,67138.68,3654070.46
1721746980,67149.11,67099.83,67138.68,67103.19,2471517.27
1721747040,67103.19,67031.1,67103.19,67036.96,6648155.66
1721747100,67054.93,66973.69,67036.96,67009.64,8457975.56
1721747160,67019.88,66804.12,67009.64,66840.4,18151499.01
1721747220,66925.95,66840.4,66840.4,66916.3,6528565.09
1721747280,66961.56,66902.78,66916.3,66934.44,3408781.7
1721747340,67006.12,66906.19,66934.44,67005.25,6284383.93
1721747400,67125.16,66996.26,67005.25,67096.79,6481641.5
1721747460,67124.95,67054.21,67096.79,67054.21,4655881.49
1721747520,67066.85,66972.37,67054.21,66973.1,5161318.71
1721747580,66993.88,66870.3,66973.1,66894.25,11726848.29
1721747640,66957.02,66885.09,66894.25,66948.81,4508214.09
1721747700,67002.44,66944.62,66948.81,66982.25,2853722.84
1721747760,67019.82,66968.09,66982.25,66984.59,4605690.02
1721747820,66996.84,66913.15,66984.59,66913.4,3866362.89
1721747880,66941.18,66909.65,66913.4,66911.43,3332206.84
1721747940,66951.2,66904,66911.43,66944.44,5604435.05
1721748000,66992.2,66934.87,66944.44,66992.2,2949614.96
1721748060,67049.14,66984.68,66992.2,67048.64,2735109.61
1721748120,67048.92,66916.66,67048.64,66923.54,6352601.14
1721748180,66930.44,66868.94,66923.54,66887.11,5296388.53
1721748240,66914.87,66871.84,66887.11,66908.32,3372186.77
1721748300,66953.08,66903.31,66908.32,66923.05,3639079.71
1721748360,66935.8,66896.87,66923.05,66907,2896408.93
1721748420,66922.51,66884.36,66907,66895.05,6187684.03
1721748480,66910.06,66657.96,66895.05,66661.46,22152398.31
1721748540,66668.42,66440.92,66661.46,66448.98,25277710.91
1721748600,66541.83,66388.86,66448.98,66533.33,15669038.61
1721748660,66585.71,66507.08,66533.33,66526.17,9406123.99
1721748720,66551.82,66434.98,66526.17,66439.88,9557502.69
1721748780,66456.59,66354.9,66439.88,66372.22,9332162.5
1721748840,66396.6,66335.16,66372.22,66371.6,6465528.08
