time,high,low,open,close,volumeto
1721541660,67093.21,67076.31,67076.38,67093.21,906981.22
1721541720,67093.21,67087.6,67093.21,67090.08,594853.91
1721541780,67090.09,67066.54,67090.08,67066.54,2511983.77
1721541840,67066.54,67043.58,67066.54,67044.04,1075571.14
1721541900,67063.97,67036.07,67044.04,67036.15,1794137.39
1721541960,67036.16,67004.43,67036.15,67005.65,2392316.7
1721542020,67025.58,67005.35,67005.65,67021.45,1170986.5
1721542080,67021.45,67001.27,67021.45,67001.27,1251918.57
1721542140,67001.27,66991.07,67001.27,66991.07,1104894.46
1721542200,66991.07,66982.99,66991.07,66984.7,844957.89
1721542260,66985.34,66936.84,66984.7,66963.32,3748529.4
1721542320,66988.82,66959.93,66963.32,66988.82,1386170.66
1721542380,67026.43,66988.81,66988.82,67023.11,1900082.57
1721542440,67026.14,67020.06,67023.11,67023.34,979345.41
1721542500,67023.35,66958.11,67023.34,66966.51,1771978.09
1721542560,66967.56,66795.17,66966.51,66800.38,15482035.85
1721542620,66800.38,66747.03,66800.38,66747.03,12126156.09
1721542680,66774.31,66744.86,66747.03,66747.48,4032867.68
1721542740,66764.35,66681.94,66747.48,66762.69,6798175.27
1721542800,66776.95,66760.1,66762.69,66776.95,3689458.61
1721542860,66785.62,66714.41,66776.95,66733.52,2750179.62
1721542920,66772.02,66722.13,66733.52,66771.92,2733216.46
1721542980,66815.12,66771.91,66771.92,66799.54,3753709.22
1721543040,66803.09,66768.97,66799.54,66772.19,2272544.91
1721543100,66772.19,66721.87,66772.19,66727.68,1865174.45
1721543160,66771.78,66727.68,66727.68,66771.77,1334913.92
1721543220,66818.56,66771.77,66771.77,66807.76,2803553.33
1721543280,66814.12,66807.58,66807.76,66810.24,896205.1
1721543340,66812.47,66798.23,66810.24,66805.53,1857671.26
1721543400,66809.68,66702.43,66805.53,66711.23,3885188.32
1721543460,66762.58,66711.23,66711.23,66731.64,3942889.67
1721543520,66743.42,66698.86,66731.64,66736.25,2163560.16
1721543580,66745.57,66726.17,66736.25,66727.12,1285939.5
1721543640,66731.4,66703,66727.12,66714.35,2756957.34
1721543700,66716.73,66699.59,66714.35,66702.73,984060.55
1721543760,66703.08,66669.29,66702.73,66677.1,2627898.17
1721543820,66692.15,66632.44,66677.1,66691.93,3780745.54
1721543880,66719.23,66688.34,66691.93,66688.47,2437942.54
1721543940,66717.62,66681.21,66688.47,66717.46,2034526.85
1721544000,66759.7,66713.81,66717.46,66751.67,2535392.69
1721544060,66772.06,66738.92,66751.67,66772.05,1724402.91
1721544120,66788.15,66765.55,66772.05,66765.55,1264835.19
1721544180,66780.86,66764,66765.55,66780.86,621436.19
1721544240,66786.88,66772.46,66780.86,66784.82,1017807.91
1721544300,66784.82,66738.65,66784.82,66756.54,2251015.71
1721544360,66761.01,66740.78,66756.54,66740.78,1567152.11
1721544420,66743.92,66736.64,66740.78,66743.65,724969.2
1721544480,66748.67,66718.34,66743.65,66718.34,907481.86
1721544540,66724.86,66704.79,66718.34,66711.88,1247104.5
1721544600,66715.45,66704.88,66711.88,66706.24,780973.77
1721544660,66720.87,66702.58,66706.24,66720.87,986355.9
1721544720,66741.25,66720.87,66720.87,66738.64,1378019.92
1721544780,66754.6,66738.6,66738.64,66743.24,1106624.26
1721544840,66750.64,66733.28,66743.24,66736.02,1139637.31
1721544900,66736.41,66711.92,66736.02,66711.93,678611.56
1721544960,66729.49,66703.33,66711.93,66728.46,939248.33
1721545020,66729.1,66713.74,66728.46,66722.81,719682.11
1721545080,66724.74,66715.58,66722.81,66716.41,841855.94
1721545140,66727.09,66716.4,66716.41,66723.8,1009125.55
1721545200,66723.96,66669.98,66723.8,66681.93,2364064.66
1721545260,66681.94,66640.5,66681.93,66646.01,2979400.29
1721545320,66665.69,66612.31,66646.01,66654.65,6796973.49
1721545380,66732.98,66653.22,66654.65,66731.16,2447912.83
1721545440,66746.85,66726.14,66731.16,66742.14,2139386.01
1721545500,66767.93,66738.64,66742.14,66763.31,1771998.98
1721545560,66764.27,66701.6,66763.31,66710.55,1938872.16
1721545620,66710.87,66686.99,66710.55,66703.3,1915655.37
1721545680,66726.73,66703.3,66703.3,66726.03,1248636.62
1721545740,66726.09,66714.54,66726.03,66722.36,1035556.42
1721545800,66745.45,66710.43,66722.36,66745.45,1709602.89
1721545860,66756.51,66734.19,66745.45,66734.19,1230234.69
1721545920,66734.19,66708.93,66734.19,66712.3,1747207.24
1721545980,66742.32,66710.53,66712.3,66742.31,1412882.99
1721546040,66753.41,66736.94,66742.31,66752.7,738629.65
1721546100,66777.16,66748.04,66752.7,66777.16,843197.65
