start_time,end_time,target_price,settled_as
2024-07-11T17:40:00+0530,2024-07-11T17:50:00+0530,58712.12,No
2024-07-11T17:45:00+0530,2024-07-11T17:55:00+0530,58624.0,Yes
2024-07-11T17:50:00+0530,2024-07-11T18:00:00+0530,58556.49,Yes
2024-07-11T17:55:00+0530,2024-07-11T18:05:00+0530,58652.0,Yes
2024-07-11T18:00:00+0530,2024-07-11T18:10:00+0530,58717.02,Yes
2024-07-11T18:05:00+0530,2024-07-11T18:15:00+0530,59257.99,No
2024-07-11T18:10:00+0530,2024-07-11T18:20:00+0530,59138.57,No
2024-07-11T18:15:00+0530,2024-07-11T18:25:00+0530,58922.01,No
2024-07-11T18:20:00+0530,2024-07-11T18:30:00+0530,59136.16,No
2024-07-11T18:25:00+0530,2024-07-11T18:35:00+0530,58758.0,Yes
2024-07-11T18:30:00+0530,2024-07-11T18:40:00+0530,58816.35,No
2024-07-11T18:35:00+0530,2024-07-11T18:45:00+0530,58908.0,No
2024-07-11T18:40:00+0530,2024-07-11T18:50:00+0530,58558.0,Yes
2024-07-11T18:45:00+0530,2024-07-11T18:55:00+0530,58642.01,Yes
2024-07-11T18:50:00+0530,2024-07-11T19:00:00+0530,58735.36,Yes
2024-07-11T18:55:00+0530,2024-07-11T19:05:00+0530,58670.01,Yes
2024-07-11T19:00:00+0530,2024-07-11T19:10:00+0530,58795.0,No
2024-07-11T19:05:00+0530,2024-07-11T19:15:00+0530,58779.69,No
2024-07-11T19:10:00+0530,2024-07-11T19:20:00+0530,58672.01,No
2024-07-11T19:15:00+0530,2024-07-11T19:25:00+0530,58425.55,Yes
2024-07-11T19:20:00+0530,2024-07-11T19:30:00+0530,58543.99,Yes
2024-07-11T19:25:00+0530,2024-07-11T19:35:00+0530,58474.0,Yes
2024-07-11T19:30:00+0530,2024-07-11T19:40:00+0530,58566.16,No
2024-07-11T19:35:00+0530,2024-07-11T19:45:00+0530,58592.01,No
2024-07-11T19:40:00+0530,2024-07-11T19:50:00+0530,58534.01,No
2024-07-11T19:45:00+0530,2024-07-11T19:55:00+0530,58288.01,No
2024-07-11T19:50:00+0530,2024-07-11T20:00:00+0530,57819.18,No
2024-07-11T19:55:00+0530,2024-07-11T20:05:00+0530,57565.44,Yes
2024-07-11T20:00:00+0530,2024-07-11T20:10:00+0530,57781.7,Yes
2024-07-11T20:05:00+0530,2024-07-11T20:15:00+0530,57831.64,No
2024-07-11T20:10:00+0530,2024-07-11T20:20:00+0530,57906.97,No
2024-07-11T20:15:00+0530,2024-07-11T20:25:00+0530,57743.38,Yes
2024-07-11T20:20:00+0530,2024-07-11T20:30:00+0530,57800.01,No
2024-07-11T20:25:00+0530,2024-07-11T20:35:00+0530,57907.19,No
2024-07-11T20:30:00+0530,2024-07-11T20:40:00+0530,57790.01,No
2024-07-11T20:35:00+0530,2024-07-11T20:45:00+0530,57796.8,Yes
2024-07-11T20:40:00+0530,2024-07-11T20:50:00+0530,57780.0,Yes
2024-07-11T20:45:00+0530,2024-07-11T20:55:00+0530,57847.99,Yes
2024-07-11T20:50:00+0530,2024-07-11T21:00:00+0530,58006.23,No
2024-07-11T20:55:00+0530,2024-07-11T21:05:00+0530,58015.72,No
2024-07-11T21:00:00+0530,2024-07-11T21:10:00+0530,57812.08,No
2024-07-11T21:05:00+0530,2024-07-11T21:15:00+0530,57582.72,No
2024-07-11T21:10:00+0530,2024-07-11T21:20:00+0530,57612.63,No
2024-07-11T21:15:00+0530,2024-07-11T21:25:00+0530,57560.3,No
2024-07-11T21:20:00+0530,2024-07-11T21:30:00+0530,57412.01,No
2024-07-11T21:25:00+0530,2024-07-11T21:35:00+0530,57298.01,No
2024-07-11T21:30:00+0530,2024-07-11T21:40:00+0530,57402.01,Yes
2024-07-11T21:35:00+0530,2024-07-11T21:45:00+0530,57237.62,Yes
2024-07-11T21:40:00+0530,2024-07-11T21:50:00+0530,57471.99,Yes
2024-07-11T21:45:00+0530,2024-07-11T21:55:00+0530,57518.42,Yes
2024-07-11T21:50:00+0530,2024-07-11T22:00:00+0530,57526.0,Yes
2024-07-11T21:55:00+0530,2024-07-11T22:05:00+0530,57565.32,Yes
2024-07-11T22:00:00+0530,2024-07-11T22:10:00+0530,57626.63,No
2024-07-11T22:05:00+0530,2024-07-11T22:15:00+0530,57698.89,No
2024-07-11T22:10:00+0530,2024-07-11T22:20:00+0530,57591.99,No
2024-07-11T22:15:00+0530,2024-07-11T22:25:00+0530,57610.71,No
2024-07-11T22:20:00+0530,2024-07-11T22:30:00+0530,57463.69,Yes
2024-07-11T22:25:00+0530,2024-07-11T22:35:00+0530,57597.39,No
2024-07-11T22:30:00+0530,2024-07-11T22:40:00+0530,57640.84,Yes
2024-07-11T22:35:00+0530,2024-07-11T22:45:00+0530,57595.65,Yes
2024-07-11T22:40:00+0530,2024-07-11T22:50:00+0530,57776.0,Yes
2024-07-11T22:45:00+0530,2024-07-11T22:55:00+0530,57767.07,Yes
2024-07-11T22:50:00+0530,2024-07-11T23:00:00+0530,57816.01,Yes
2024-07-11T22:55:00+0530,2024-07-11T23:05:00+0530,57890.0,No
2024-07-11T23:00:00+0530,2024-07-11T23:10:00+0530,57882.24,No
2024-07-11T23:05:00+0530,2024-07-11T23:15:00+0530,57870.0,No
2024-07-11T23:10:00+0530,2024-07-11T23:20:00+0530,57848.0,Yes
2024-07-11T23:15:00+0530,2024-07-11T23:25:00+0530,57868.0,No
2024-07-11T23:20:00+0530,2024-07-11T23:30:00+0530,57872.7,No
2024-07-11T23:25:00+0530,2024-07-11T23:35:00+0530,57856.68,No
2024-07-11T23:30:00+0530,2024-07-11T23:40:00+0530,57797.32,No
2024-07-11T23:35:00+0530,2024-07-11T23:45:00+0530,57793.99,Yes
2024-07-11T23:40:00+0530,2024-07-11T23:50:00+0530,57695.61,Yes
2024-07-11T23:45:00+0530,2024-07-11T23:55:00+0530,57828.01,Yes
2024-07-11T23:50:00+0530,2024-07-12T00:00:00+0530,57835.85,No
2024-07-11T23:55:00+0530,2024-07-12T00:05:00+0530,57896.01,No
2024-07-12T00:00:00+0530,2024-07-12T00:10:00+0530,57766.52,Yes
2024-07-12T00:05:00+0530,2024-07-12T00:15:00+0530,57842.56,Yes
2024-07-12T00:10:00+0530,2024-07-12T00:20:00+0530,57902.01,No
2024-07-12T00:15:00+0530,2024-07-12T00:25:00+0530,57904.72,No
2024-07-12T00:20:00+0530,2024-07-12T00:30:00+0530,57786.0,Yes
2024-07-12T00:25:00+0530,2024-07-12T00:35:00+0530,57813.84,No
2024-07-12T00:30:00+0530,2024-07-12T00:40:00+0530,57841.27,No
2024-07-12T00:35:00+0530,2024-07-12T00:45:00+0530,57810.0,No
2024-07-12T00:40:00+0530,2024-07-12T00:50:00+0530,57742.01,No
2024-07-12T00:45:00+0530,2024-07-12T00:55:00+0530,57658.01,No
2024-07-12T00:50:00+0530,2024-07-12T01:00:00+0530,57649.71,No
2024-07-12T00:55:00+0530,2024-07-12T01:05:00+0530,57439.86,Yes
2024-07-12T01:00:00+0530,2024-07-12T01:10:00+0530,57412.0,Yes
