start_time,end_time,target_views,settled_as,video_name
2024-07-11T21:25:00+0530,2024-07-11T21:45:00+0530,45.17M,No,Kendrick Lamar - Not Like Us
2024-07-11T21:30:00+0530,2024-07-11T21:40:00+0530,18.39M,No,Round2Hell - EPL Season 3
2024-07-11T21:40:00+0530,2024-07-11T22:00:00+0530,18.42M,Yes,Round2Hell - EPL Season 3
2024-07-11T21:40:00+0530,2024-07-11T22:00:00+0530,18.43M,Yes,Round2Hell - EPL Season 3
2024-07-11T21:50:00+0530,2024-07-11T22:10:00+0530,45.19M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T21:50:00+0530,2024-07-11T22:00:00+0530,18.51M,No,Round2Hell - EPL Season 3
2024-07-11T21:50:00+0530,2024-07-11T22:00:00+0530,18.51M,No,Round2Hell - EPL Season 3
2024-07-11T21:55:00+0530,2024-07-11T22:00:00+0530,86.38M,Yes,MrBeast - I Built 100 Homes
2024-07-11T21:55:00+0530,2024-07-11T22:10:00+0530,45.23M,No,Kendrick Lamar - Not Like Us
2024-07-11T22:00:00+0530,2024-07-11T23:00:00+0530,86.47M,Yes,MrBeast - I Built 100 Homes
2024-07-11T22:00:00+0530,2024-07-11T22:20:00+0530,18.62M,No,Round2Hell - EPL Season 3
2024-07-11T22:00:00+0530,2024-07-11T22:20:00+0530,18.57M,No,Round2Hell - EPL Season 3
2024-07-11T22:10:00+0530,2024-07-11T22:30:00+0530,45.21M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T22:20:00+0530,2024-07-11T22:40:00+0530,18.54M,Yes,Round2Hell - EPL Season 3
2024-07-11T22:20:00+0530,2024-07-11T22:40:00+0530,18.60M,Yes,Round2Hell - EPL Season 3
2024-07-11T22:25:00+0530,2024-07-11T22:40:00+0530,18.58M,Yes,Round2Hell - EPL Season 3
2024-07-11T22:25:00+0530,2024-07-11T22:40:00+0530,18.68M,No,Round2Hell - EPL Season 3
2024-07-11T22:30:00+0530,2024-07-11T22:50:00+0530,45.25M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T22:30:00+0530,2024-07-11T22:40:00+0530,18.67M,No,Round2Hell - EPL Season 3
2024-07-11T22:35:00+0530,2024-07-11T22:50:00+0530,45.30M,No,Kendrick Lamar - Not Like Us
2024-07-11T22:40:00+0530,2024-07-11T23:00:00+0530,18.76M,Yes,Round2Hell - EPL Season 3
2024-07-11T22:40:00+0530,2024-07-11T23:00:00+0530,18.80M,Yes,Round2Hell - EPL Season 3
2024-07-11T22:50:00+0530,2024-07-11T23:10:00+0530,45.35M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T22:50:00+0530,2024-07-11T23:00:00+0530,18.83M,No,Round2Hell - EPL Season 3
2024-07-11T23:00:00+0530,2024-07-12T00:00:00+0530,86.61M,No,MrBeast - I Built 100 Homes
2024-07-11T23:00:00+0530,2024-07-11T23:20:00+0530,18.99M,No,Round2Hell - EPL Season 3
2024-07-11T23:00:00+0530,2024-07-11T23:10:00+0530,45.37M,No,Kendrick Lamar - Not Like Us
2024-07-11T23:00:00+0530,2024-07-11T23:20:00+0530,18.97M,Yes,Round2Hell - EPL Season 3
2024-07-11T23:10:00+0530,2024-07-11T23:30:00+0530,45.39M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T23:15:00+0530,2024-07-12T00:00:00+0530,3.79M,No,Sourav Joshi - Kunali Ka New Laptop
2024-07-11T23:15:00+0530,2024-07-11T23:30:00+0530,45.43M,Yes,Kendrick Lamar - Not Like Us
2024-07-11T23:20:00+0530,2024-07-11T23:40:00+0530,19.15M,No,Round2Hell - EPL Season 3
2024-07-11T23:25:00+0530,2024-07-11T23:45:00+0530,19.19M,No,Round2Hell - EPL Season 3
2024-07-11T23:25:00+0530,2024-07-11T23:45:00+0530,45.49M,No,Kendrick Lamar - Not Like Us
2024-07-11T23:15:00+0530,2024-07-12T00:00:00+0530,3.76M,No,Sourav Joshi - Kunali Ka New Laptop
2024-07-11T23:35:00+0530,2024-07-11T23:55:00+0530,19.09M,Yes,Round2Hell - EPL Season 3
2024-07-11T23:15:00+0530,2024-07-12T00:00:00+0530,3.73M,Yes,Sourav Joshi - Kunali Ka New Laptop
